150600001;201;CARRD;147;2022-07-30 23:49:36
35-6;0;正常;2022-07-30 23:49:34;0.0,0.0;2022-07-27 19:30:26
36;1;离线;2022-07-30 12:32:36;39.834564,110.08384;2022-06-18 09:14:05
36-1;1;离线;2022-07-30 18:35:59;39.84008,110.08082;2022-06-28 10:49:45
36-8;1;离线;2022-07-30 18:36:15;39.840084,110.08075;2022-06-28 10:50:52
37;1;离线;2022-07-30 17:12:42;39.833412,110.092476;2022-06-28 10:39:48
37-2;0;正常;2022-07-30 23:49:35;39.840534,110.08165;2022-07-26 10:01:55
37-3;1;离线;2022-07-30 17:24:15;39.840454,110.08208;2022-07-26 10:01:30
38-1;1;离线;2022-07-26 03:22:42;39.839954,110.08087;2022-06-20 14:50:25
39;1;离线;2022-07-30 17:38:38;39.840286,110.07995;2022-06-18 09:13:43
39-1;1;离线;2022-07-21 18:33:09;39.840717,110.081406;2022-06-18 09:18:49
39-2;0;正常;2022-07-30 23:49:35;39.840324,110.08128;2022-06-20 14:52:47
39-3;1;离线;2022-07-30 18:36:56;39.83998,110.08069;2022-06-20 14:33:34
40;1;离线;2022-07-30 17:02:38;39.83375,110.09278;2022-06-20 14:21:20
40-1;0;正常;2022-07-30 23:49:35;39.84008,110.08189;2022-06-17 11:37:56
40-2;0;正常;2022-07-30 23:49:36;39.840073,110.081436;2022-06-18 09:25:09
40-3;0;正常;2022-07-30 23:49:35;39.84007,110.08092;2022-06-20 14:46:40
40-5;0;正常;2022-07-30 23:49:35;39.84051,110.08145;2022-06-20 14:47:07
41;1;离线;2022-07-30 17:10:11;39.83524,110.08137;2022-06-28 10:35:11
41-1;0;正常;2022-07-30 23:49:35;39.840073,110.080986;2022-06-28 10:50:28
41-2;0;正常;2022-07-30 23:49:34;39.840088,110.082;2022-06-20 14:38:29
41-3;0;正常;2022-07-30 23:49:33;39.83986,110.08191;2022-06-20 14:47:33
41-5;0;正常;2022-07-30 23:49:36;39.84082,110.08195;2022-06-20 14:34:02
41-6;1;离线;2022-07-30 17:27:04;39.840088,110.082054;2022-06-20 14:47:20
43;1;离线;2022-07-30 17:11:11;39.83444,110.0904;2022-06-28 10:37:28
43-2;0;正常;2022-07-30 23:49:35;39.83996,110.08081;2022-06-28 10:37:47
43-3;1;离线;2022-07-29 20:56:49;39.839893,110.08139;2022-06-20 14:39:21
43-6;1;离线;2022-07-30 17:22:19;39.839985,110.080574;2022-06-20 14:36:59
45;1;离线;2022-07-23 19:08:52;39.840176,110.07937;2022-06-28 10:27:07
45-5;1;离线;2022-07-30 17:26:43;39.840546,110.081696;2022-06-17 11:29:30
45-6;1;离线;2022-07-30 14:41:07;39.83557,110.07638;2022-06-17 11:33:53
45-8;1;离线;2022-07-30 17:08:03;39.84081,110.081894;2022-06-28 10:45:41
46;1;离线;2022-07-28 11:10:30;39.840244,110.07978;2022-06-18 09:12:51
46-1;0;正常;2022-07-30 23:49:34;39.84006,110.08151;2022-07-27 19:55:42
46-2;1;离线;2022-07-30 06:09:07;39.840683,110.08126;2022-07-27 19:30:01
46-3;1;离线;2022-07-30 06:06:38;39.84033,110.08153;2022-07-26 09:57:17
46-8;0;正常;2022-07-30 23:49:35;39.84009,110.08168;2022-06-20 14:52:12
47;1;离线;2022-07-30 16:57:17;39.833755,110.09271;2022-06-18 09:13:18
47-1;0;正常;2022-07-30 23:49:35;39.83989,110.08128;2022-06-17 11:35:14
47-2;0;正常;2022-07-30 23:49:34;39.83989,110.081345;2022-06-17 11:36:21
47-3;0;正常;2022-07-30 23:49:37;39.840073,110.08131;2022-06-17 11:35:53
47-7;0;正常;2022-07-30 23:49:34;39.83986,110.08168;2022-06-17 11:35:35
48;1;离线;2022-07-30 17:11:14;39.83523,110.08224;2022-06-20 14:19:03
48-1;1;离线;2022-07-30 17:26:21;39.840534,110.08159;2022-06-20 14:49:28
48-2;0;正常;2022-07-30 23:49:33;39.840073,110.081055;2022-06-20 14:51:08
48-3;0;正常;2022-07-30 23:49:34;39.839905,110.081154;2022-06-28 10:45:19
48-5;0;正常;2022-07-30 23:49:36;39.839924,110.08099;2022-06-28 10:44:37
48-7;0;正常;2022-07-30 23:49:37;39.839928,110.08094;2022-06-28 10:44:50
49;1;离线;2022-07-30 17:15:27;39.83379,110.09241;2022-06-20 14:22:31
49-1;0;正常;2022-07-30 23:49:35;39.839916,110.0811;2022-06-20 14:37:34
5;1;离线;2022-07-29 10:07:24;39.839817,110.08155;2022-06-20 14:19:23
5-2;1;离线;2022-07-30 17:13:18;39.84083,110.08214;2022-06-28 10:32:48
5-3;1;离线;2022-07-10 18:06:36;39.84076,110.08161;2022-06-28 10:32:35
5-7;0;正常;2022-07-30 23:49:34;39.840565,110.081985;2022-06-28 10:33:38
5号装载机;1;离线;2022-07-30 17:21:41;39.83969,110.08312;2022-06-28 10:35:56
6;1;离线;2022-07-30 17:10:54;39.832886,110.08677;2022-06-28 10:43:44
6-1;0;正常;2022-07-30 23:49:35;39.84051,110.08126;2022-06-28 10:42:52
6-2;1;离线;2022-07-10 18:02:24;39.840782,110.08165;2022-06-28 10:33:10
6-3;0;正常;2022-07-30 23:49:35;39.840794,110.0817;2022-06-28 10:33:53
6-8;0;正常;2022-07-30 23:49:35;39.840515,110.08132;2022-06-28 10:34:22
6号装载机;1;离线;2022-07-30 17:28:15;39.83962,110.08314;2022-06-28 10:49:27
7;1;离线;2022-07-30 17:10:44;39.832947,110.08689;2022-06-20 14:20:41
7号装载机;1;离线;2022-07-30 17:24:26;39.83965,110.08313;2022-06-28 10:37:01
8;1;离线;2022-07-30 16:48:01;39.83806,110.08372;2022-07-25 15:13:11
8号装载机;1;离线;2022-07-30 17:17:14;39.84356,110.07588;2022-06-28 10:48:36
9;1;离线;2022-07-30 07:11:43;39.833595,110.08175;2022-06-28 10:35:32
9-6;1;离线;2022-07-30 17:18:26;39.84056,110.08195;2022-06-28 10:33:22
9号装载机;1;离线;2022-07-30 17:18:37;39.83972,110.083115;2022-06-28 10:47:51
P1;1;离线;2022-07-30 17:20:25;39.83538,110.08072;2022-06-28 10:36:42
ST02700200;1;离线;2022-07-22 18:43:46;39.83928,110.08274;2022-06-28 10:29:18
zd-cs-1;1;离线;2022-06-29 15:07:16;0.0,0.0;2022-06-28 11:29:24
蒙KC061D;1;离线;2022-07-30 17:33:51;39.84326,110.07455;2022-06-28 10:38:10
蒙KE029E;1;离线;2022-07-30 17:36:49;39.84345,110.074524;2022-06-28 10:38:30
蒙KK893M;1;离线;2022-07-30 17:25:08;39.84353,110.07438;2022-06-28 10:38:46
